DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200100596,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1600,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0344 0378,35,M,B,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
200407318,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,0315,04,Hollenbeck,0422,2,740,*VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)*,0329,40,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,2600 N  BROADWAY,,34.0736,-118.2156
200407198,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,0430,04,Hollenbeck,0466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1813 1243,27,F,H,501,SINGLE FAMILY DWELLING,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,AO,Adult Other,626,,,,300 N  EVERGREEN                    AV,,34.0436,-118.2051
201112187,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,11,Northeast,1144,2,662,*BUNCO, GRAND THEFT*,0701 0913 0361,51,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,2100    HYPERION                     AV,,34.099,-118.2738
210109294,04/23/2021 12:00:00 AM,12/01/2020 12:00:00 AM,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
200104020,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0245,01,Central,0153,1,350,*THEFT, PERSON*,0344 0416 0446 1822,44,M,B,102,SIDEWALK,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,350,624,,,6TH                          ST,SPRING                       ST,34.0463,-118.2515
200104024,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0325,01,Central,0134,2,740,*VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)*,0329,41,M,A,122,*VEHICLE, PASSENGER/TRUCK*,,,IC,Invest Cont,740,,,,4TH                          ST,HILL                         ST,34.0503,-118.2504
200104027,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0030,01,Central,0182,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421 1822,57,M,O,108,PARKING LOT,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,930,,,,700 W  9TH                          ST,,34.0458,-118.2614
200104033,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0230,01,Central,0143,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,25,M,W,101,STREET,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,626,,,,400 S  HILL                         ST,,34.0503,-118.2504
200811087,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2200,08,West LA,0898,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,W,514,GROUP HOME,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,AO,Adult Other,624,,,,8900    HARGIS                       ST,,34.0352,-118.387
200104035,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0230,01,Central,0111,1,310,BURGLARY,0344 1822 1414 1605,34,F,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,310,,,,700    YALE                         ST,,34.0612,-118.2417
200104036,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0500,01,Central,0119,2,860,BATTERY WITH SEXUAL CONTACT,1218 1822 0910 0522 0408 0448 2015 1000,18,F,B,900,MTA - RED LINE - UNION STATION,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,860,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
200104038,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0157,1,230,*ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT*,0337 0340 0416 0445 1822 1218 2021 1019,57,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,7TH,SAN PEDRO,34.0401,-118.2459
200104039,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0344,01,Central,0162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,55,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,800 W  7TH                          ST,,34.0487,-118.2588
200104041,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1030,01,Central,0192,1,480,BIKE - STOLEN,1822 2032 0344,23,M,A,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,480,,,,HILL,WASHINGTON,34.032,-118.2657
200104043,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0112,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218,55,M,H,122,*VEHICLE, PASSENGER/TRUCK*,,,IC,Invest Cont,745,,,,ALISO,SPRING,34.0561,-118.2415
200321450,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,0300,03,Southwest,0333,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,54,F,W,501,SINGLE FAMILY DWELLING,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,AO,Adult Other,236,,,,3000    WELLINGTON                   RD,,34.0261,-118.3384
200104047,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0905,01,Central,0153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,623,,,,500 S  HILL                         ST,,34.0488,-118.2518
200104048,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0905,01,Central,0153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,623,,,,500 S  HILL                         ST,,34.0488,-118.2518
200104051,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0200,01,Central,0161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,22,F,A,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,800    FRANCISCO                    ST,,34.0487,-118.2627
200104054,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2330,01,Central,0135,2,624,BATTERY - SIMPLE ASSAULT,0416 1266 2004,28,M,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,624,,,,WALL,5TH                          ST,34.0495,-118.2458
200812213,07/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,2005,08,West LA,0898,2,956,*LETTERS, LEWD  -  TELEPHONE CALLS, LEWD*,0913,42,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,2800 S  BEDFORD                      ST,,34.0346,-118.3857
200104057,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2045,01,Central,0176,1,230,*ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT*,1218 1822 0411,43,M,B,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230,,,,7TH,LOS ANGELES,34.0424,-118.2493
200104058,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1940,01,Central,0135,2,624,BATTERY - SIMPLE ASSAULT,1218 1822 0416 2034 0371,46,M,H,102,SIDEWALK,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,624,,,,LOS ANGELES                  ST,2ND                          ST,34.0485,-118.2447
200104060,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1800,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 2004,56,F,O,101,STREET,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,624,,,,600 S  SPRING                       ST,,34.0467,-118.252
200104063,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,01,Central,0162,1,341,*THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD*,1822 0344 2032,55,F,O,108,PARKING LOT,,,IC,Invest Cont,341,,,,600 W  9TH                          ST,,34.0462,-118.2585
200104065,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1830,01,Central,0118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,55,M,H,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,745,,,,300 E  ANN                          ST,,34.0639,-118.2306
200104066,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2315,01,Central,0182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 0910,0,X,X,122,*VEHICLE, PASSENGER/TRUCK*,,,IC,Invest Cont,745,,,,9TH                          ST,GRAND                        AV,34.0444,-118.2593
200104069,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0545,01,Central,0111,1,310,BURGLARY,1822 1414 0344 1609,0,X,X,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,800 N  BROADWAY,,34.0623,-118.2383
200104073,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0345,01,Central,0143,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,400 S  SPRING                       ST,,34.0488,-118.25
200104075,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,01,Central,0166,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1218,67,M,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,440,,,,400 E  7TH                          ST,,34.0421,-118.2469
200104076,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0300,01,Central,0153,1,341,*THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD*,0344 2034 1822,57,M,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,341,,,,300 W  5TH                          ST,,34.0481,-118.2507
200104077,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,01,Central,0195,1,330,BURGLARY FROM VEHICLE,0344 1307 1822 0329 1609,37,F,H,101,STREET,,,IC,Invest Cont,330,,,,1800 S  MAIN                         ST,,34.0317,-118.2641
200104078,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0820,01,Central,0162,1,210,ROBBERY,0334 0325 1822 0443,0,X,X,403,DRUG STORE,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,210,,,,600 W  7TH                          ST,,34.0473,-118.2566
200104082,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1225,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0416,60,M,O,101,STREET,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,624,,,,7TH,SPRING,34.0449,-118.2528
200104090,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1305,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
200104092,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0111,1,310,BURGLARY,1822 0344 1602 0329,51,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,700    ALPINE                       ST,,34.0635,-118.2426
200918185,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203,09,Van Nuys,0935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725,*GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)*,,,AA,Adult Arrest,900,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
200104098,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1240,01,Central,0154,1,210,ROBBERY,2004 0913 0344 0334 0302 1402 1202,61,M,W,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,102,HAND GUN,AO,Adult Other,210,998,,,100 E  5TH                          ST,,34.0467,-118.2485
200104101,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0800,01,Central,0131,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0417 2002,38,M,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,626,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
200104118,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1600,01,Central,0159,2,624,BATTERY - SIMPLE ASSAULT,0400 2033 1822,36,F,B,203,OTHER BUSINESS,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,624,,,,800 E  4TH                          PL,,34.0445,-118.2367
200104120,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1450,01,Central,0158,1,310,BURGLARY,1822 1218 0344 1206 1605,59,M,H,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,310,,,,1200 E  7TH                          ST,,34.0395,-118.2405
200104126,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1215,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,32,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 S  FLOWER                       ST,,34.0487,-118.2588
200104127,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1130,01,Central,0138,2,888,TRESPASSING,2004 0913,44,F,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,888,,,,300 E  3RD                          ST,,34.048,-118.2438
200104129,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0320,01,Central,0124,1,230,*ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT*,0416 1822 1218 2004 1202,60,F,W,101,STREET,515,PHYSICAL PRESENCE,IC,Invest Cont,230,,,,1ST,MAIN,34.0522,-118.2434
210121427,10/26/2021 12:00:00 AM,10/18/2020 12:00:00 AM,0528,01,Central,0121,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 2034 2014,24,F,W,101,STREET,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,IC,Invest Cont,860,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
200104132,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1915,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822,31,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1200 S  GRAND                        AV,,34.0402,-118.2633
200104135,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,01,Central,0142,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 1810 2032,30,M,W,101,STREET,,,IC,Invest Cont,440,,,,300 S  GRAND                        AV,,34.053,-118.2513
200104136,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,01,Central,0158,1,230,*ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT*,0416 1300 1309 2004 0913 1268 2003 1218,50,M,B,101,STREET,307,VEHICLE,AA,Adult Arrest,230,,,,600 S  CENTRAL                      AV,,34.039,-118.24
201815332,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,0125,18,Southeast,1822,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0448 0429 0416 1243 1813 2000,50,F,B,505,MOTEL,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,AO,Adult Other,626,,,,10300 S  BROADWAY,,33.9425,-118.2781
200104138,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1740,01,Central,0111,1,230,*ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT*,2004 0411 0400 1822 0445,40,M,H,203,OTHER BUSINESS,216,SCISSORS,IC,Invest Cont,230,,,,600 N  BROADWAY,,34.0586,-118.2402
